runnerId,allTimeAvg,noRaces,category,resultTime
8604,16115,0,52.0,20248
8610,15810,0,32.0,20269
8611,15810,0,32.0,19612
8613,16771,1,62.0,12391
8623,16115,0,52.0,21768
8626,16152,1,57.0,16822
8627,12481,14,57.0,13252
8631,15645,0,37.0,16677
8635,15810,0,32.0,22923
8639,15810,0,32.0,19014
8641,15919,1,27.0,19320
8643,16152,1,57.0,20908
8646,16642,2,27.0,18645
8656,15645,1,37.0,14399
8662,15810,0,32.0,15118
8668,15838,0,47.0,16874
8670,15674,0,42.0,14092
8675,15838,4,47.0,15145
8677,15674,0,42.0,15578
8678,16166,0,21.0,19216
8679,16115,1,52.0,12483
8681,15674,0,42.0,10788
8683,16771,0,62.0,19467
8684,16166,1,21.0,12103
8688,15838,4,47.0,16986
8689,16096,3,52.0,17073
8690,15674,1,42.0,17650
8698,15838,2,47.0,20188
8702,15919,1,27.0,14824
8703,15919,2,27.0,14037
