2012-10-21,NiagaraFallsInternationalMarathon,HALFMARATHON
2012-10-21,NiagaraFallsInternationalMarathon,MARATHON
2012-10-27,OttawaBeatBeethoven,8KM
2012-10-27,OttawaBeatBeethoven,HALFMARATHON
2012-10-28,Ironman70.3Miami,OVERALLRESULTS
2012-10-28,RattlemeBones5and10km,FUNNYBONERUN5K
2012-10-28,RattlemeBones5and10km,WISHBONERACE10K
2012-11-03,HeatherSaaltinkMemorialRun,10KMRUN
2012-11-03,HeatherSaaltinkMemorialRun,5KMRUN
2012-11-04,OkaRoadRace,10KCOURSE
2012-11-04,OkaRoadRace,DEMI-MARATHON
2012-11-04,OkaRoadRace,5KCOURSE
2012-11-04,OkaRoadRace,1KCOURSE
2012-11-18,FatAssTrailRun,17.5KM
2012-12-02,CaymanIslandsMarathon,MARATHON
2012-12-02,RiRaSanta5K,5KMRUN/WALK
2012-12-09,HonoluluMarathon,MARATHON
2013-01-28,CruisetoRun,5KM
2013-02-01,CruisetoRun,BARBADOS5KM
2013-02-02,WinterludeTriathlonBaldeNeige,TRIATHLON
2013-02-16,GatineauLoppet,20KMCLASSIQUE
2013-02-16,GatineauLoppet,55KMCLASSIQUE
2013-02-17,DemiMarathonHypothermique,DEMI-MARATHON
2013-02-17,DéfiHivernalIleBizard,10KM
2013-02-17,DéfiHivernalIleBizard,5KM
2013-02-17,DéfiHivernalIleBizard,2KM
2013-02-17,GatineauLoppet,51KMPATIN/SKATE
2013-02-17,GatineauLoppet,27KMPATIN/SKATE
2013-02-17,WintermanMarathonandMarathonRelays,HALFMARATHON
2013-02-17,WintermanMarathonandMarathonRelays,MARATHON
2013-02-24,Morin-HeightsVikingLoppet,JACKWAHLBERG20KMCLASSIQUE
2013-02-24,Morin-HeightsVikingLoppet,SMITH-JOHANNSEN33KMCLASSIQUE
2013-02-24,Morin-HeightsVikingLoppet,JANNORDSTROM10KMCLASSIQUE
2013-02-24,YMCAofPeterboroughHalf-marathonand5km,HALFMARATHON
2013-03-02,DefiNordique,40KMCLASSIQUE
2013-03-02,DefiNordique,DEFI50KMCOMBINEE
2013-03-02,DefiNordique,25KMCLASSIQUE
2013-03-02,Pentathlondesneiges,DEFICOURTEDISTANCE-SOLO
2013-03-03,ChillyHalfMarathon&Frosty5km,HALFMARATHONRUN
2013-03-03,DefiNordique,TRIATHLONNORDIQUEINDIVIDUEL
2013-03-03,Pentathlondesneiges,DEFILONGUEDISTANCE-SOLO
2013-03-10,OkaSkiMarathon,42KMSTYLELIBRE
2013-03-16,TourduMont-Valin,45KMCLASSIQUE
2013-03-16,TourduMont-Valin,45KMSTYLELIBRE
2013-03-17,Ironman70.3SanJuan,OVERALLRESULTS
2013-03-24,AroundtheBayRoadRaces,30KM
2013-03-24,CourseetmarchepopulairesdeLaSalle,10KM
2013-03-24,CourseetmarchepopulairesdeLaSalle,5KM
2013-03-24,CourseetmarchepopulairesdeLaSalle,2KM
2013-03-30,Ironman70.3CaliforniaOceanside,OVERALLRESULTS
2013-04-06,Harry'sSpringRunOff,8KM
2013-04-06,Harry'sSpringRunOff,5KM
2013-04-07,Ironman70.3Texas,OVERALL
2013-04-14,CourseSaint-Laurent,10KM
2013-04-14,CourseSaint-Laurent,5KM
